el|080|Συνεντεύξεις
el|080|Σύμμεικτα
el|080|Σύμμικτα
el|089.89|Ελληνικά δοκίμια
el|090|Σπάνια βιβλία. Χειρόγραφα. Αρχεία
el|091.09|Χειρόγραφα - Ιστορία
el|091|Πάπυροι
el|091|Χειρόγραφα
el|094|Σημειωματάρια
el|096.1|Εικονογραφημένα βιβλία
el|096.1|Λευκώματα
el|097|Λευκώματα, Προσωπικά
el|099|Βιβλία μινιατούρες
el|100.016|Φιλοσοφία - Βιβλιογραφία
el|100.01|Φιλοσοφία - Θεωρία
el|100.03|Φιλοσοφία - Εγκυκλοπαίδειες και λεξικά
el|100.07|Φιλοσοφία - Σπουδή και διδασκαλία
el|100.083|Φιλοσοφία - Βιβλία για παιδιά
el|100.092 083|Φιλόσοφοι - Βιβλία για παιδιά
el|100.092|Sartre, Jean - Paul, 1905-1980
el|100.092|Φιλόσοφοι
el|100.09|Φιλοσοφία - Ιστορία
el|100|Φιλοσοφία
el|100|Φιλοσοφία - Ερμηνεία και κριτική
el|101|Φιλοσοφία και λογοτεχνία
el|104|Φιλοσοφία - Λόγοι, δοκίμια, διαλέξεις
el|110|Μεταφυσική
el|111.85|Ομορφιά
el|113.8|Ζωή
el|120|Γνώση
el|121.68|Ερμηνευτική
el|121.6|Πεποίθηση
el|121.7|Πίστη
el|128.1|Ψυχή
el|128.2|Σώμα, Ανθρώπινο
el|128.2|Φιλοσοφία του νου
el|128.4|Αγάπη
el|128|Φιλοσοφική ανθρωπολογία
el|130|Παραφυσικά φαινόμενα
el|133.1|Φαντάσματα
el|133.2|Ψυχική έρευνα
el|133.323|Ραβδοσκοπία
el|133.324 24|Ταρό
el|133.324 2|Χαρτομαντεία
el|133.335|Αριθμολογία
el|133.3|Μελλοντολογία
el|133.422 09|Διάβολος - Ιστορία
el|133.422|Σατανισμός
el|133.423|Βαμπίρ
el|133.423|Βρικόλακες
el|133.42|Δαιμονολογία
el|133.433|Μαντεία
el|133.43|Μαγεία
el|133.508 35|Αστρολογία - Βιβλία για εφήβους
el|133.54|Ωροσκόπια - Σημειωματάριο
el|133.5|Αστρολογία
el|133.6|Χειρομαντεία
el|133.82|Τηλεπάθεια
