2009,3,27,DELL,Buy,100
2009,4,3,DELL,Sell,100
2009,4,7,DELL,Buy,100
2009,4,15,DELL,Sell,100
2008,10,7,DFS,Buy,100
2008,10,14,DFS,Sell,100
2008,10,27,DFS,Buy,100
2008,11,3,DFS,Sell,100
2008,11,12,DFS,Buy,100
2008,11,19,DFS,Sell,100
2008,12,1,DFS,Buy,100
2008,12,8,DFS,Sell,100
2008,12,11,DFS,Buy,100
2008,12,18,DFS,Sell,100
2009,5,11,DFS,Buy,100
2009,5,18,DFS,Sell,100
2009,6,2,DFS,Buy,100
2009,6,9,DFS,Sell,100
2009,6,26,DFS,Buy,100
2009,7,6,DFS,Sell,100
2009,7,7,DFS,Buy,100
2009,7,14,DFS,Sell,100
2008,7,10,DHI,Buy,100
2008,7,17,DHI,Sell,100
2008,10,7,DHI,Buy,100
2008,10,14,DHI,Sell,100
2009,3,31,DHI,Buy,100
2009,4,7,DHI,Sell,100
2009,4,8,DHI,Buy,100
2009,4,16,DHI,Sell,100
2009,5,7,DHI,Buy,100
2009,5,14,DHI,Sell,100
2009,5,11,DHI,Buy,100
2009,5,18,DHI,Sell,100
2009,7,21,DHI,Buy,100
2009,7,28,DHI,Sell,100
2009,12,7,DHI,Buy,100
2009,12,14,DHI,Sell,100
2009,12,15,DHI,Buy,100
2009,12,22,DHI,Sell,100
2008,10,10,DNR,Buy,100
2008,10,17,DNR,Sell,100
2008,10,27,DNR,Buy,100
2008,11,3,DNR,Sell,100
2008,11,12,DNR,Buy,100
2008,11,19,DNR,Sell,100
2009,1,20,DNR,Buy,100
2009,1,27,DNR,Sell,100
2009,2,13,DOW,Buy,100
2009,2,23,DOW,Sell,100
2009,4,7,DOW,Buy,100
2009,4,15,DOW,Sell,100
2008,10,15,EMC,Buy,100
2008,10,22,EMC,Sell,100
2008,10,21,EMC,Buy,100
2008,10,28,EMC,Sell,100
2008,11,12,EMC,Buy,100
2008,11,19,EMC,Sell,100
2008,11,14,EMC,Buy,100
2008,11,21,EMC,Sell,100
2008,11,19,EMC,Buy,100
2008,11,26,EMC,Sell,100
2008,11,25,EMC,Buy,100
2008,12,3,EMC,Sell,100
2009,3,6,EMC,Buy,100
2009,3,13,EMC,Sell,100
2008,10,27,EXPE,Buy,100
2008,11,3,EXPE,Sell,100
2008,10,31,EXPE,Buy,100
2008,11,7,EXPE,Sell,100
2009,4,7,EXPE,Buy,100
2009,4,15,EXPE,Sell,100
2009,12,30,F,Buy,100
2009,12,30,F,Sell,100
2008,5,16,FHN,Buy,100
2008,5,23,FHN,Sell,100
2008,6,5,FHN,Buy,100
2008,6,12,FHN,Sell,100
2008,7,24,FHN,Buy,100
2008,7,31,FHN,Sell,100
2008,9,29,FHN,Buy,100
2008,10,6,FHN,Sell,100
2008,10,7,FHN,Buy,100
2008,10,14,FHN,Sell,100
2008,10,24,FHN,Buy,100
2008,10,31,FHN,Sell,100
2008,11,12,FHN,Buy,100
2008,11,19,FHN,Sell,100
2008,11,14,FHN,Buy,100
2008,11,21,FHN,Sell,100
2008,11,19,FHN,Buy,100
2008,11,26,FHN,Sell,100
2008,12,1,FHN,Buy,100
2008,12,8,FHN,Sell,100
2008,12,10,FHN,Buy,100
2008,12,17,FHN,Sell,100
2008,12,23,FHN,Buy,100
2008,12,31,FHN,Sell,100
2009,1,9,FHN,Buy,100
2009,1,16,FHN,Sell,100
2009,1,29,FHN,Buy,100
2009,2,5,FHN,Sell,100
2009,2,10,FHN,Buy,100
2009,2,18,FHN,Sell,100
2009,3,20,FHN,Buy,100
2009,3,27,FHN,Sell,100
2008,6,18,FITB,Buy,100
2008,6,25,FITB,Sell,100
2008,9,29,FITB,Buy,100
2008,10,6,FITB,Sell,100
2008,10,9,FITB,Buy,100
2008,10,16,FITB,Sell,100
2008,10,24,FITB,Buy,100
2008,10,31,FITB,Sell,100
2008,11,12,FITB,Buy,100
2008,11,19,FITB,Sell,100
2008,11,14,FITB,Buy,100
2008,11,21,FITB,Sell,100
2009,8,5,FITB,Buy,100
2009,8,12,FITB,Sell,100
2009,8,17,FITB,Buy,100
2009,8,24,FITB,Sell,100
2009,9,2,FITB,Buy,100
2009,9,10,FITB,Sell,100
2009,9,11,FITB,Buy,100
2009,9,18,FITB,Sell,100
2009,9,23,FITB,Buy,100
2009,9,30,FITB,Sell,100
2009,10,1,FITB,Buy,100
2009,10,8,FITB,Sell,100
2009,10,16,FITB,Buy,100
